extract_date,departement,indic_synthese
2020-04-30,971,vert
2020-04-30,972,vert
2020-04-30,973,vert
2020-04-30,974,vert
2020-04-30,976,rouge
2020-04-30,93,rouge
2020-04-30,92,rouge
2020-04-30,75,rouge
2020-04-30,95,rouge
2020-04-30,78,rouge
2020-04-30,94,rouge
2020-04-30,77,rouge
2020-04-30,91,rouge
2020-04-30,28,orange
2020-04-30,45,orange
2020-04-30,18,rouge
2020-04-30,37,orange
2020-04-30,36,orange
2020-04-30,41,orange
2020-04-30,25,rouge
2020-04-30,90,rouge
2020-04-30,21,rouge
2020-04-30,89,rouge
2020-04-30,71,rouge
2020-04-30,39,rouge
2020-04-30,70,rouge
2020-04-30,58,rouge
2020-04-30,76,vert
2020-04-30,61,vert
2020-04-30,50,vert
2020-04-30,27,vert
2020-04-30,14,orange
2020-04-30,80,rouge
2020-04-30,02,rouge
2020-04-30,60,rouge
2020-04-30,62,rouge
2020-04-30,59,rouge
2020-04-30,88,rouge
2020-04-30,67,rouge
2020-04-30,52,rouge
2020-04-30,54,rouge
2020-04-30,08,rouge
2020-04-30,55,rouge
2020-04-30,10,rouge
2020-04-30,51,rouge
2020-04-30,57,rouge
2020-04-30,68,rouge
2020-04-30,44,orange
2020-04-30,85,vert
2020-04-30,72,orange
2020-04-30,53,orange
2020-04-30,49,vert
2020-04-30,35,vert
2020-04-30,22,vert
2020-04-30,56,vert
2020-04-30,29,vert
2020-04-30,19,vert
2020-04-30,33,vert
2020-04-30,40,vert
2020-04-30,86,vert
2020-04-30,47,vert
2020-04-30,64,vert
2020-04-30,79,vert
2020-04-30,16,vert
2020-04-30,17,vert
2020-04-30,24,orange
2020-04-30,23,vert
2020-04-30,87,vert
2020-04-30,46,rouge
2020-04-30,09,vert
2020-04-30,34,vert
2020-04-30,81,orange
2020-04-30,65,vert
2020-04-30,30,vert
2020-04-30,11,vert
2020-04-30,12,vert
2020-04-30,66,vert
2020-04-30,82,vert
2020-04-30,48,vert
2020-04-30,32,orange
2020-04-30,31,vert
2020-04-30,74,orange
2020-04-30,63,orange
2020-04-30,42,orange
2020-04-30,43,orange
2020-04-30,15,orange
2020-04-30,26,orange
2020-04-30,03,orange
2020-04-30,07,orange
2020-04-30,38,orange
2020-04-30,73,orange
2020-04-30,69,orange
2020-04-30,01,orange
2020-04-30,84,orange
2020-04-30,13,orange
2020-04-30,06,orange
2020-04-30,04,orange
2020-04-30,05,orange
2020-04-30,83,orange
2020-04-30,2A,vert
2020-04-30,2B,rouge
2020-05-01,01,orange
2020-05-01,02,rouge
2020-05-01,03,orange
2020-05-01,04,orange
2020-05-01,05,orange
2020-05-01,06,orange
2020-05-01,07,orange
2020-05-01,08,rouge
2020-05-01,09,vert
2020-05-01,10,rouge
2020-05-01,11,vert
2020-05-01,12,vert
2020-05-01,13,orange
2020-05-01,14,vert
2020-05-01,15,orange
2020-05-01,16,vert
2020-05-01,17,vert
2020-05-01,18,orange
2020-05-01,19,vert
2020-05-01,21,rouge
2020-05-01,22,vert
2020-05-01,23,vert
2020-05-01,24,vert
2020-05-01,25,rouge
2020-05-01,26,orange
2020-05-01,27,vert
2020-05-01,28,orange
2020-05-01,29,vert
2020-05-01,30,vert
2020-05-01,31,vert
2020-05-01,32,orange
2020-05-01,33,vert
2020-05-01,34,vert
2020-05-01,35,vert
2020-05-01,36,orange
2020-05-01,37,orange
2020-05-01,38,orange
2020-05-01,39,rouge
